Time (sec),Calculated Load (g/rev),CL Fuel Target (AFR),Comm Fuel Final (AFR),Dyn. Adv. Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (psi),Fuel Pressure Target (psi),Gear Position (Gear),Intake Temp Manifold (F),MAF Corr. (g/s),Boost (psi),Oil Temp (F),Req. Torque (Nm),TD Boost Error (psi),TGV Map Ratio (mult),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Accel. Position (%),Baro. Pressure (psi),Coolant Temp (F),Ignition Timing (°),Inj. Duty Cycle (%),Intake Temp (F),MAF Volt. (V),RPM (RPM),Throttle Pos. (%),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.3.0-17285][2019 USDM WRX MT COBB Custom Features][Reflash: Stage1+BigSF 91 v302.ptm - Realtime: Stage1+BigSF 91 v302.ptm]
2.806,1.07,14.02,14.42,1.000,0.00,0.00,1700,1699,2,82,35.04,0.34,198,229.57,4.47,0.000,0.78,3.91,14.36,32.9,14.07,190,5.00,3.70,63,2.14,1933,32.9,13.73,0
2.860,1.09,14.08,14.42,1.000,0.00,0.00,1750,1699,2,82,35.93,0.41,198,230.88,4.42,0.000,0.78,3.91,14.25,33.3,14.07,190,5.50,3.74,63,2.18,1964,32.5,14.12,0
2.918,1.10,14.14,14.42,1.000,0.00,0.00,1758,1699,2,82,36.45,0.53,198,232.36,4.46,0.000,0.00,3.91,14.14,33.7,14.07,190,5.00,3.80,63,2.20,1976,32.5,14.90,0
3.002,1.11,14.22,14.42,1.000,0.00,0.00,1716,1699,2,82,36.95,0.70,198,234.54,4.45,0.000,0.00,3.91,14.12,34.5,14.07,190,5.00,3.79,63,2.22,1993,32.5,15.29,0
3.048,1.12,14.28,14.42,1.000,0.00,0.00,1725,1699,2,82,38.48,0.93,198,234.82,4.30,0.000,-1.56,3.91,14.09,34.5,14.07,190,5.00,3.90,63,2.20,2044,32.5,16.08,0
3.117,1.14,14.35,14.42,1.000,0.00,0.00,1712,1752,2,81,39.63,0.95,198,236.98,4.39,0.000,-1.56,3.91,14.11,34.9,14.07,190,5.00,3.98,63,2.28,2078,32.5,16.08,0
3.188,1.15,14.42,14.36,1.000,0.00,0.00,1787,1752,2,81,40.54,1.19,198,244.20,4.83,0.000,-1.56,3.91,14.21,37.3,14.07,190,5.00,4.00,61,2.28,2092,32.9,17.25,0
3.263,1.16,14.42,14.42,1.000,0.00,0.00,1710,1752,2,81,42.46,1.42,198,248.39,5.00,0.000,-1.56,3.91,14.27,38.0,14.07,190,4.50,4.52,61,2.28,2155,33.3,20.39,0
3.321,1.18,14.42,14.42,1.000,0.00,0.00,1818,1752,2,81,43.60,1.42,198,248.18,4.89,0.000,-2.34,3.91,14.24,37.6,14.07,190,4.00,4.20,61,2.36,2201,32.5,19.61,0
3.384,1.20,14.42,14.42,1.000,0.00,0.00,1809,1805,2,81,44.52,1.67,198,248.56,4.84,0.020,-2.34,3.91,14.35,38.0,14.07,190,3.00,4.72,61,2.36,2215,32.5,19.61,0
3.443,1.20,14.61,14.59,1.000,0.00,0.00,1768,1805,2,81,44.88,1.70,198,249.34,4.72,0.080,-3.12,3.91,14.49,38.0,14.07,190,4.00,4.74,61,2.36,2229,32.5,19.61,0
3.498,1.23,14.61,14.59,1.000,0.00,0.00,1794,1805,2,81,47.23,1.96,198,258.15,4.97,0.350,-3.12,3.91,14.57,40.4,14.07,190,4.50,4.79,61,2.48,2285,34.5,20.39,0
3.578,1.29,14.61,14.59,1.000,0.00,0.00,1872,1858,2,79,50.55,2.49,198,260.24,4.85,0.813,-3.12,3.91,14.40,41.2,14.07,190,8.00,4.96,61,2.52,2344,40.0,22.35,0
3.653,1.32,14.59,14.59,1.000,0.00,0.00,1821,1858,2,79,52.44,2.74,198,260.05,4.69,0.883,-3.91,3.91,14.56,41.2,14.07,190,8.00,5.06,61,2.42,2379,40.0,21.57,0
3.721,1.34,14.52,14.47,1.000,0.00,0.00,1814,1858,2,79,54.64,3.07,198,260.33,4.44,0.963,-2.34,3.91,14.74,40.8,14.07,190,8.50,5.15,61,2.50,2422,40.0,20.78,0
3.786,1.36,14.50,14.47,1.000,0.00,0.00,1826,1858,2,79,56.79,3.61,198,261.05,4.08,1.000,-1.56,3.91,14.96,41.2,14.07,190,9.00,5.73,61,2.64,2466,40.4,20.78,0
3.840,1.38,14.48,14.47,1.000,0.00,0.00,1741,1858,2,79,58.25,3.90,198,262.19,4.11,1.000,-0.78,3.91,15.04,41.6,14.07,190,9.00,5.85,61,2.54,2496,40.8,20.78,0
3.905,1.40,14.46,14.42,1.000,0.00,0.00,1839,1858,2,79,60.09,4.28,198,264.09,3.91,1.000,0.00,3.91,15.01,42.4,14.07,190,8.50,5.87,61,2.66,2526,40.8,20.78,0
3.959,1.44,14.39,14.36,1.000,0.00,0.00,1927,1858,2,77,63.20,4.42,198,268.40,3.81,1.000,0.78,3.91,14.91,44.3,14.07,190,8.00,6.61,61,2.64,2597,47.5,21.57,0
4.042,1.50,14.10,14.09,1.000,0.00,0.00,2011,1858,2,77,66.39,4.96,198,268.83,3.49,1.000,1.56,3.91,14.74,44.3,14.07,190,7.00,6.73,61,2.76,2649,47.1,21.96,0
4.090,1.53,13.89,13.99,1.000,0.00,0.00,1940,1858,2,77,68.24,5.04,198,269.76,3.68,1.000,1.56,3.91,14.55,45.1,14.07,190,6.50,7.42,61,2.86,2679,44.7,21.18,0
4.156,1.56,13.67,13.63,1.000,0.00,0.00,1952,1858,2,77,71.46,5.81,198,274.01,3.12,1.000,2.34,3.91,14.36,47.1,14.07,190,6.00,7.47,61,2.78,2724,44.3,21.57,0
4.210,1.58,13.58,13.59,1.000,0.00,0.00,1980,1858,2,77,73.49,6.08,198,277.24,3.28,1.000,3.12,3.91,14.30,49.4,14.07,190,5.50,7.64,61,2.84,2774,44.3,22.35,0
4.285,1.63,13.44,13.39,1.000,0.00,0.00,1948,1858,2,77,77.99,6.47,198,279.49,3.13,1.000,3.91,3.91,13.93,50.2,14.07,190,5.00,8.48,61,2.90,2849,43.1,23.14,0
4.344,1.68,13.21,13.20,1.000,0.00,0.00,1858,1858,2,77,81.49,6.63,198,279.14,3.17,1.000,3.91,4.69,13.79,49.8,14.07,190,5.00,9.14,61,2.94,2873,43.9,22.75,0
4.404,1.77,13.01,12.93,1.000,0.00,0.00,1816,1911,2,75,87.23,7.35,198,278.93,2.73,1.000,5.47,5.47,13.56,50.2,14.07,190,5.00,9.96,61,3.02,2923,49.0,22.35,0
4.458,1.85,12.71,12.63,1.000,0.00,0.00,1958,1911,2,75,93.33,8.15,198,278.69,1.87,1.000,5.47,5.47,13.18,50.2,14.07,190,4.50,10.72,61,3.04,2996,50.2,21.96,0
4.538,1.94,12.46,12.38,1.000,0.00,0.00,1903,1911,2,75,99.54,8.76,198,278.15,1.27,1.000,4.69,5.47,12.61,50.2,14.07,190,3.50,12.31,59,3.14,3049,51.8,21.57,0
4.602,2.02,12.34,12.26,1.000,0.00,0.00,2036,1964,2,75,105.09,9.35,198,277.81,0.74,1.000,3.12,5.47,12.17,50.2,14.07,190,3.50,12.54,59,3.24,3103,52.5,20.78,0
4.663,2.04,12.19,12.14,1.000,0.00,0.00,1907,1964,2,75,109.56,10.81,198,278.14,-0.10,1.000,3.91,5.47,12.32,50.6,14.07,190,3.00,12.68,59,3.30,3172,54.1,20.78,0
4.718,2.11,12.00,11.95,1.000,0.00,0.00,1944,2057,2,75,115.33,11.56,198,278.35,-1.21,1.000,4.69,6.25,12.11,51.0,14.07,190,3.00,14.43,59,3.32,3234,57.3,20.39,0
4.783,2.17,11.90,11.83,1.000,0.00,0.00,2012,2057,2,75,119.35,11.34,198,277.49,-1.14,1.000,3.91,6.25,11.75,50.6,14.07,190,2.50,15.30,59,3.34,3274,54.9,20.39,0
4.838,2.22,11.82,11.76,1.000,0.00,0.00,2144,2123,2,73,124.77,12.44,198,276.98,-2.65,1.000,1.56,6.25,11.49,50.6,14.07,190,2.50,15.61,59,3.32,3339,53.7,20.00,0
4.916,2.26,11.77,11.61,1.000,0.00,0.00,2232,2123,2,73,129.19,12.70,198,276.76,-3.09,1.000,2.34,6.25,11.61,50.6,14.07,190,2.50,15.87,59,3.44,3418,51.4,20.00,0
4.972,2.24,11.79,11.65,1.000,0.00,0.00,2131,2123,2,73,129.70,12.64,198,276.21,-3.22,1.000,1.56,6.25,11.44,50.6,14.07,190,2.50,16.26,59,3.40,3473,49.4,20.00,0
5.028,2.22,11.78,11.65,1.000,0.00,0.00,2049,2123,2,73,130.59,12.38,198,275.45,-3.13,1.000,1.56,6.25,11.27,50.6,14.07,190,2.50,17.15,59,3.46,3514,47.5,19.22,0
5.109,2.20,11.82,11.65,1.000,0.00,0.00,2195,2123,2,73,132.02,11.90,198,275.75,-2.87,1.000,0.00,6.25,11.35,51.0,14.07,190,3.00,16.68,59,3.40,3586,45.5,19.61,0
5.164,2.19,11.82,11.61,1.000,0.00,0.00,2169,2176,2,73,133.47,11.20,198,275.11,-2.80,1.000,0.00,6.25,11.42,51.0,14.07,190,2.50,16.37,59,3.36,3666,45.5,18.82,0
5.220,2.16,11.87,11.69,1.000,0.00,0.00,2212,2176,2,72,134.19,11.41,198,274.90,-2.22,1.000,-0.78,6.25,11.41,51.0,14.07,190,3.00,16.57,59,3.42,3722,43.5,19.61,0
5.302,2.11,11.96,11.40,1.000,0.00,0.00,2283,2176,2,72,132.70,10.97,198,274.89,-1.49,1.000,-3.12,6.25,11.45,51.4,14.07,190,3.50,15.21,59,3.34,3765,43.5,19.61,0
5.348,2.07,11.98,11.44,1.000,0.00,0.00,2209,2176,2,72,132.78,10.49,198,274.36,-1.11,1.000,0.00,6.25,11.16,51.4,14.07,190,3.50,16.13,59,3.40,3831,43.5,19.61,0
5.432,2.03,12.04,11.58,1.000,0.00,0.00,2199,2176,2,72,133.59,9.99,198,274.56,-0.63,1.000,0.00,5.47,11.08,51.8,14.07,190,4.00,16.54,59,3.38,3918,43.9,19.22,0
5.482,2.02,12.03,11.58,1.000,0.00,0.00,2275,2176,2,72,134.63,10.27,198,274.48,0.24,1.000,0.00,5.47,11.29,52.2,14.07,190,4.50,16.05,59,3.42,3972,46.7,19.61,0
5.539,2.00,12.04,11.58,1.000,0.00,0.00,2318,2176,2,72,134.05,9.92,198,274.05,-0.21,1.000,0.00,5.47,11.37,51.8,14.07,190,5.00,16.16,59,3.42,4012,44.7,19.22,0
5.620,1.99,12.05,11.58,1.000,0.00,0.00,2192,2176,2,72,135.06,9.52,198,274.58,-0.19,1.000,0.00,5.47,11.57,52.5,14.07,190,5.00,16.39,59,3.44,4058,43.5,19.61,0
5.675,1.99,12.05,11.54,1.000,0.00,0.00,2136,2176,2,72,137.54,8.97,198,275.25,0.13,1.000,0.00,5.47,11.47,53.3,14.07,190,6.00,16.75,59,3.50,4132,42.0,20.00,0
5.735,2.00,12.04,11.44,1.000,0.00,0.00,2147,2176,2,70,140.55,8.43,198,276.24,0.87,1.000,0.00,5.47,11.42,54.1,14.07,190,6.00,17.82,59,3.48,4191,41.6,20.39,0
5.790,2.02,12.04,11.37,1.000,0.00,0.00,2176,2176,2,70,142.76,8.89,198,275.65,0.66,1.000,0.00,5.47,11.18,53.7,14.07,190,6.00,17.12,59,3.52,4223,40.8,20.39,0
5.869,1.98,12.07,11.37,1.000,0.00,0.00,2198,2176,2,70,143.48,8.58,198,275.25,0.82,1.000,0.00,5.47,11.04,53.7,14.07,190,6.00,17.28,59,3.44,4288,40.8,20.39,0
5.924,2.03,12.01,11.27,1.000,0.00,0.00,2067,2176,2,70,147.08,8.05,198,275.46,0.36,1.000,0.00,5.47,11.07,54.1,14.07,190,6.50,18.51,59,3.50,4348,40.4,20.78,0
5.984,2.02,12.04,11.23,1.000,0.00,0.00,2151,2176,2,70,148.56,8.82,198,274.74,-0.12,1.000,0.00,5.47,10.78,54.1,14.07,190,6.50,18.65,59,3.52,4399,40.0,20.78,0
6.045,2.00,12.04,11.20,1.000,0.00,0.00,2205,2176,2,70,148.64,8.20,198,274.12,0.37,1.000,0.00,5.47,10.71,54.1,14.07,190,6.50,18.94,59,3.54,4447,40.8,20.78,0
6.098,2.02,12.04,11.23,1.000,0.00,0.00,2077,2176,2,70,151.32,8.23,198,274.18,0.30,1.000,0.00,5.47,10.63,54.1,14.07,190,6.50,18.11,59,3.56,4498,41.2,20.78,0
6.169,2.00,12.04,11.27,1.000,0.00,0.00,2108,2176,2,70,152.81,8.31,198,273.66,0.23,1.000,0.00,5.47,10.74,54.1,14.07,190,7.00,19.35,59,3.60,4551,42.4,20.39,0
6.241,2.02,12.02,11.27,1.000,0.00,0.00,2088,2176,2,70,155.66,9.07,198,273.30,-0.42,1.000,0.00,5.47,10.81,54.1,14.07,190,7.00,19.64,59,3.62,4611,43.9,20.39,0
6.310,2.03,12.02,11.30,1.000,0.00,0.00,2040,2176,2,70,158.71,8.63,198,272.49,0.03,1.000,0.00,5.47,10.89,54.1,14.07,190,7.00,19.93,59,3.64,4671,43.9,20.00,0
6.390,2.02,12.02,11.33,1.000,0.00,0.00,2231,2176,2,70,160.43,8.81,198,272.18,-0.67,1.000,0.00,5.47,10.84,54.1,14.07,190,7.00,20.08,59,3.62,4728,44.7,20.00,0
6.460,2.04,11.99,11.33,1.000,0.00,0.00,2197,2176,2,70,163.01,8.73,198,271.10,-0.14,1.000,0.00,5.47,10.91,53.7,14.07,190,7.00,20.35,59,3.70,4776,45.9,20.00,0
6.505,2.00,12.04,11.37,1.000,0.00,0.00,2224,2176,2,70,162.02,9.33,198,270.11,-0.82,1.000,0.00,4.69,10.93,53.3,14.07,190,7.00,20.48,59,3.64,4827,45.1,19.61,0
6.558,2.03,12.01,11.33,1.000,0.00,0.00,2105,2176,2,70,165.41,9.24,198,269.56,-0.81,1.000,0.00,2.34,11.22,53.3,14.07,190,7.50,19.74,59,3.70,4883,45.9,19.22,0
6.648,2.02,12.02,11.33,1.000,0.00,0.00,2092,2176,2,70,167.25,9.27,198,269.24,-0.90,1.000,0.00,0.78,11.26,53.3,14.07,190,7.50,21.04,59,3.72,4939,45.9,19.22,0
6.713,2.03,12.00,11.30,1.000,0.00,0.00,2218,2176,2,70,169.75,9.07,198,268.50,-0.82,1.000,0.00,0.00,11.33,53.3,14.07,190,7.50,20.28,59,3.68,5003,45.1,19.22,0
6.774,2.00,12.03,11.33,1.000,0.00,0.00,2095,2176,2,70,169.82,8.12,198,268.51,-0.77,1.000,0.00,0.00,11.48,53.3,14.07,190,7.50,20.42,59,3.70,5059,45.9,19.22,0
6.835,2.02,12.03,11.30,1.000,0.00,0.00,2155,2176,2,70,172.16,8.45,198,267.81,-0.19,1.000,0.00,0.00,11.56,53.3,14.07,190,7.50,20.70,59,3.72,5106,45.5,18.82,0
6.889,2.00,12.03,11.33,1.000,0.00,0.00,2163,2176,2,70,173.19,8.72,198,266.81,-0.79,1.000,0.00,0.00,11.43,52.9,14.07,190,7.50,20.79,59,3.74,5143,45.1,18.43,0
6.969,1.99,12.05,11.33,1.000,0.00,0.00,2141,2176,2,70,173.24,8.05,198,265.81,-0.15,1.000,0.00,0.00,11.40,52.5,14.07,190,7.50,21.00,59,3.74,5197,45.9,18.43,0
7.024,2.00,11.99,11.30,1.000,0.00,0.00,2198,2176,2,70,176.75,8.71,198,262.95,-1.07,1.000,0.00,0.00,11.47,51.4,14.07,190,8.00,21.18,59,3.78,5261,47.1,18.04,0
7.085,1.98,11.99,11.30,1.000,0.00,0.00,2232,2176,2,70,174.53,7.23,198,226.79,-3.20,1.000,0.00,0.00,11.30,36.5,14.07,190,8.00,21.48,59,3.78,5305,38.4,14.51,0
7.138,1.55,12.78,11.76,1.000,0.00,0.00,2173,2176,2,70,124.73,1.88,198,130.00,-6.39,1.000,0.00,0.00,10.99,0.0,14.07,190,8.00,20.41,59,3.60,5303,23.9,0.00,0
7.213,0.93,13.25,13.20,1.000,0.00,0.00,1540,438,2,70,80.98,-2.83,198,95.00,-3.69,1.000,-12.50,0.00,11.28,0.0,14.07,190,18.50,10.09,57,2.72,5252,20.8,0.00,0
7.272,0.75,13.25,13.25,1.000,0.00,0.00,854,438,2,70,64.41,-5.41,198,65.00,-1.90,1.000,0.00,0.00,13.43,0.0,14.07,190,18.00,10.16,59,2.34,5294,17.6,0.00,0
7.335,0.54,13.25,13.25,1.000,0.00,0.00,468,438,2,70,44.47,-8.47,198,0.00,-3.50,1.000,0.00,0.00,13.70,0.0,14.07,190,9.50,11.32,59,2.08,5309,8.6,0.00,0
7.395,0.31,13.25,13.25,1.000,0.00,0.00,313,438,2,70,25.75,-10.49,198,0.00,-0.17,1.000,0.00,0.00,13.80,0.0,14.07,190,9.50,6.77,59,1.12,5288,8.6,0.00,0
7.450,0.21,13.25,13.25,1.000,0.00,0.00,299,438,2,68,18.35,-11.28,198,0.00,0.69,1.000,0.00,0.00,13.50,0.0,14.07,190,9.50,4.47,59,1.16,5220,8.6,0.00,0
7.520,0.17,13.48,13.25,1.000,0.00,0.00,313,438,2,68,14.03,-11.62,198,0.00,1.12,1.000,0.00,0.00,13.33,0.0,14.07,190,9.50,3.29,59,1.08,5126,8.6,0.00,0
7.590,0.13,13.70,13.25,1.000,0.00,0.00,350,438,2,68,11.31,-11.85,198,0.00,1.25,1.000,0.00,0.00,13.77,0.0,14.07,190,9.50,2.14,59,1.08,5016,7.8,0.00,0
7.681,0.10,14.04,13.25,1.000,0.00,0.00,358,438,2,68,8.87,-11.94,198,0.00,1.45,1.000,0.00,0.00,14.60,0.0,14.07,190,9.50,2.08,59,0.94,4883,8.2,0.00,0
7.738,0.09,14.17,13.25,1.000,0.00,0.00,348,438,2,68,7.99,-11.90,198,0.00,1.16,1.000,0.00,0.00,15.93,0.0,14.07,190,9.50,2.05,59,1.12,4759,8.2,0.00,0
