Time (sec),Calculated Load (g/rev),CL Fuel Target (AFR),Comm Fuel Final (AFR),Dyn. Adv. Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (psi),Fuel Pressure Target (psi),Gear Position (Gear),Intake Temp Manifold (F),MAF Corr. (g/s),Boost (psi),Oil Temp (F),Req. Torque (Nm),TD Boost Error (psi),TGV Map Ratio (mult),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Accel. Position (%),Baro. Pressure (psi),Coolant Temp (F),Ignition Timing (°),Inj. Duty Cycle (%),Intake Temp (F),MAF Volt. (V),RPM (RPM),Throttle Pos. (%),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.3.0-17285][2019 USDM WRX MT COBB Custom Features][Reflash: Stage1+BigSF 91 v302.ptm - Realtime: Stage1+BigSF 91 v302.ptm]
0.000,0.14,14.65,13.30,1.000,0.00,0.00,547,438,2,84,4.14,-11.01,198,0.00,1.53,1.000,0.00,3.91,22.20,0.0,14.07,190,9.50,0.75,63,1.02,1740,5.1,0.00,0
0.034,0.14,14.65,13.30,1.000,0.00,0.00,552,438,2,84,4.16,-11.01,198,0.00,1.57,1.000,0.00,3.91,22.20,0.0,14.07,190,9.00,0.74,63,1.02,1733,5.1,0.00,0
0.089,0.14,14.65,13.30,1.000,0.00,0.00,552,438,2,84,4.12,-11.01,198,0.00,1.54,1.000,0.00,3.91,22.20,0.0,14.07,190,9.00,0.74,63,1.02,1722,5.1,0.00,0
0.168,0.14,14.65,13.30,1.000,0.00,0.00,552,438,2,84,4.06,-11.01,198,0.00,1.57,1.000,0.00,3.91,22.20,0.0,14.07,190,9.00,0.72,63,1.00,1698,5.1,0.00,0
0.247,0.14,14.65,13.34,1.000,0.00,0.00,557,438,2,84,4.07,-11.07,198,0.00,1.59,1.000,0.00,3.91,22.20,0.0,14.07,190,9.00,0.72,63,1.00,1694,5.1,0.00,0
0.312,0.14,14.65,13.30,1.000,0.00,0.00,557,438,2,84,4.10,-11.05,198,0.00,1.62,1.000,0.00,3.91,22.20,0.0,14.07,190,9.00,0.73,63,0.98,1700,5.1,0.00,0
0.396,0.14,14.65,13.34,1.000,0.00,0.00,557,438,2,84,4.07,-11.00,198,0.00,1.58,1.000,0.00,3.91,22.20,0.0,14.07,190,9.00,0.72,63,1.02,1686,5.1,0.00,0
0.471,0.14,14.65,13.34,1.000,0.00,0.00,557,438,2,84,4.00,-11.02,198,0.00,1.66,1.000,0.00,3.91,22.20,0.0,14.07,190,9.00,0.71,63,0.98,1657,5.1,0.00,0
0.561,0.14,14.65,13.34,1.000,0.00,0.00,563,438,2,84,4.01,-11.00,198,0.00,1.65,1.000,0.00,3.91,22.20,0.0,14.07,190,8.50,0.71,63,0.96,1661,5.1,0.00,0
0.622,0.14,14.65,13.34,1.000,0.00,0.00,563,438,2,84,3.98,-11.06,198,0.00,1.73,1.000,0.00,3.91,22.20,0.0,14.07,190,9.00,0.71,63,0.96,1657,5.1,0.00,0
0.717,0.14,14.65,13.39,1.000,0.00,0.00,567,438,2,84,3.90,-11.12,198,0.00,1.78,1.000,0.00,3.91,22.20,0.0,14.07,190,8.50,0.70,63,0.98,1630,5.1,0.00,0
0.782,0.14,14.65,13.39,1.000,0.00,0.00,568,438,2,84,3.87,-11.10,198,14.82,2.73,1.000,0.00,3.91,22.20,1.2,14.07,190,8.50,0.69,63,0.98,1613,5.1,0.00,0
0.855,0.14,13.94,13.39,1.000,0.00,0.00,543,438,2,84,4.08,-11.05,198,15.38,2.84,1.000,0.00,3.91,22.20,1.6,14.07,190,9.50,0.69,63,1.08,1615,5.9,0.00,0
0.921,0.16,13.94,13.39,1.000,0.00,0.00,548,438,2,84,4.38,-10.94,198,14.68,2.59,1.000,0.00,3.91,22.20,0.0,14.07,190,10.50,0.70,63,1.04,1647,5.9,0.00,0
0.991,0.16,13.94,13.39,1.000,0.00,0.00,564,438,2,84,4.41,-10.91,198,13.98,2.59,1.000,0.00,3.91,22.20,0.0,14.07,190,-2.00,0.69,63,1.08,1616,5.9,0.00,0
1.061,0.16,13.94,13.39,1.000,0.00,0.00,507,438,2,84,4.47,-10.89,198,13.18,2.50,1.000,0.00,3.91,22.20,0.0,14.07,190,14.00,0.68,63,1.06,1600,5.5,0.00,0
1.117,0.17,13.94,13.39,1.000,0.00,0.00,466,438,2,84,4.50,-10.86,198,17.49,2.67,1.000,0.00,3.91,22.20,2.0,14.07,190,15.00,0.68,63,1.08,1594,5.9,0.00,0
1.192,0.17,13.94,13.39,1.000,0.00,0.00,411,438,2,84,4.83,-10.74,198,27.02,3.35,1.000,0.00,3.91,22.20,5.1,14.07,190,15.50,0.68,63,1.10,1589,7.1,0.00,0
1.248,0.19,13.94,13.39,1.000,0.00,0.00,374,438,2,84,5.28,-10.62,198,29.85,3.38,1.000,0.00,3.91,22.20,6.3,14.07,190,17.50,1.03,63,1.20,1603,7.5,0.00,0
1.331,0.21,13.94,13.30,1.000,0.00,0.00,344,438,2,84,5.84,-10.41,198,34.45,3.44,1.000,0.00,3.91,22.20,9.4,14.07,190,19.50,1.38,63,1.24,1623,7.8,0.00,0
1.385,0.22,13.94,13.16,1.000,0.00,0.00,347,438,2,84,6.27,-10.29,198,39.08,3.70,1.000,0.00,3.91,22.20,9.4,14.07,190,20.00,1.38,63,1.28,1615,8.2,0.00,0
1.437,0.25,13.94,12.93,1.000,0.00,0.00,401,438,2,84,6.66,-10.08,198,43.90,3.81,1.000,0.00,3.91,22.20,11.0,14.07,190,21.00,1.35,63,1.30,1587,8.6,0.00,0
1.512,0.26,13.94,12.80,1.000,0.00,0.00,442,438,2,84,7.19,-9.88,198,50.39,4.12,1.000,0.00,3.91,22.20,11.4,14.07,190,21.00,1.69,63,1.28,1582,9.0,0.00,0
1.569,0.28,13.94,12.80,1.000,0.00,0.00,448,491,2,84,7.91,-9.63,198,56.19,4.22,1.000,0.00,3.91,22.20,12.5,14.07,190,21.00,1.71,63,1.32,1604,9.8,0.00,0
1.640,0.31,13.94,12.80,1.000,0.00,0.00,513,544,2,84,8.71,-9.28,198,63.62,4.39,1.000,0.00,3.91,21.22,12.9,14.07,190,21.00,2.06,63,1.42,1610,11.0,0.00,0
1.709,0.35,13.94,12.80,1.000,0.00,0.00,589,610,2,84,9.93,-8.66,198,75.88,4.77,1.000,0.00,3.91,19.87,13.7,14.07,190,20.50,2.06,63,1.48,1611,11.4,0.00,0
1.780,0.44,13.94,12.80,1.000,0.00,0.00,680,783,2,84,11.93,-8.14,198,89.80,4.87,1.000,0.00,3.91,18.27,15.7,14.07,190,20.00,2.08,63,1.56,1629,12.9,0.00,0
1.851,0.52,13.98,12.80,1.000,0.00,0.00,773,956,2,84,14.34,-7.00,198,104.25,4.82,1.000,0.00,3.91,16.82,18.4,14.07,190,26.50,2.46,63,1.70,1647,14.9,0.00,0
1.907,0.57,13.98,12.80,1.000,0.00,0.00,956,1128,2,84,15.94,-6.20,198,117.15,4.95,1.000,0.00,3.91,15.86,18.8,14.07,190,25.00,2.46,63,1.74,1637,15.7,0.00,0
1.982,0.63,13.98,13.94,1.000,0.00,0.00,1160,1234,2,84,17.46,-5.38,198,132.34,5.04,1.000,2.34,3.91,14.71,22.0,14.07,190,19.00,2.42,63,1.80,1632,16.5,0.00,0
2.039,0.67,13.93,13.94,1.000,0.00,0.00,1172,1301,2,84,18.80,-4.54,198,146.31,5.14,1.000,-0.78,3.91,13.82,25.1,14.07,190,16.00,2.49,63,1.84,1668,18.4,0.00,0
2.124,0.72,13.93,13.89,1.000,0.00,0.00,1236,1354,2,84,20.91,-3.31,198,163.94,4.73,1.000,-1.56,3.91,13.28,29.4,14.07,190,14.00,2.50,63,1.86,1684,20.0,0.00,0
2.173,0.80,13.93,13.89,1.000,0.00,0.00,1356,1460,2,84,23.21,-2.13,198,189.65,4.36,1.000,-3.91,3.91,13.15,29.0,14.07,190,12.00,2.87,63,2.06,1681,27.1,0.00,0
2.233,0.94,13.94,13.94,1.000,0.00,0.00,1391,1593,2,84,26.77,-1.22,198,213.44,4.76,1.000,-3.91,3.91,13.36,29.0,14.07,190,10.50,3.22,63,2.12,1683,33.7,0.00,0
2.292,0.98,13.94,13.94,1.000,0.00,0.00,1550,1593,2,84,28.41,-0.46,198,216.76,4.24,1.000,-2.34,3.91,13.87,29.4,14.07,190,8.00,3.30,63,2.04,1723,36.5,6.67,0
2.348,1.00,13.94,13.94,1.000,0.00,0.00,1567,1646,2,84,29.24,-0.47,198,213.57,4.04,1.000,-1.56,3.91,13.99,29.0,14.07,190,8.50,3.36,63,2.08,1762,33.3,7.45,0
2.431,1.01,13.94,13.94,1.000,0.00,0.00,1662,1646,2,84,29.53,-0.48,198,215.60,4.14,1.000,-1.56,3.91,13.80,29.4,14.07,190,7.00,3.37,63,2.04,1747,32.5,6.27,0
2.477,1.03,13.94,13.94,1.000,0.00,0.00,1586,1646,2,84,30.65,-0.26,198,216.94,4.15,0.750,-2.34,3.91,13.74,29.4,14.07,190,10.50,3.74,63,2.12,1758,34.9,7.84,0
2.560,1.03,13.77,14.42,1.000,0.00,0.00,1628,1646,2,84,31.86,-0.30,198,218.60,4.08,0.610,-0.78,3.91,13.78,29.8,14.07,190,9.50,3.82,63,2.10,1831,33.3,7.84,0
2.615,1.05,13.84,14.42,1.000,0.00,0.00,1662,1646,2,84,32.60,-0.12,198,224.43,4.53,0.000,-0.78,3.91,13.80,31.8,14.07,190,7.50,3.55,63,2.10,1861,34.1,10.20,0
2.670,1.06,13.90,14.42,1.000,0.00,0.00,1729,1646,2,84,33.21,0.07,198,225.00,4.26,0.000,-0.78,3.91,13.96,31.8,14.07,190,5.00,3.58,63,2.08,1865,34.5,11.76,0
2.740,1.06,13.96,14.42,1.000,0.00,0.00,1686,1646,2,82,33.65,0.21,198,226.90,4.35,0.000,0.00,3.91,14.29,32.2,14.07,190,5.00,3.58,63,2.12,1886,33.3,12.16,0
