Time (sec),Calculated Load (g/rev),CL Fuel Target (AFR),Comm Fuel Final (AFR),Dyn. Adv. Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (psi),Fuel Pressure Target (psi),Gear Position (Gear),Intake Temp Manifold (F),MAF Corr. (g/s),Boost (psi),Oil Temp (F),Req. Torque (Nm),TD Boost Error (psi),TGV Map Ratio (mult),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Accel. Position (%),Baro. Pressure (psi),Coolant Temp (F),Ignition Timing (°),Inj. Duty Cycle (%),Intake Temp (F),MAF Volt. (V),RPM (RPM),Throttle Pos. (%),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.3.0-17285][2019 USDM WRX MT COBB Custom Features][Reflash: Stage1+BigSF 91 v302.ptm - Realtime: Stage1+BigSF 91 v302.ptm]
0.000,0.59,14.65,14.70,1.000,0.00,0.00,1043,1155,3,117,26.36,-2.55,200,141.49,1.79,0.000,9.38,3.12,14.94,20.8,14.07,190,24.00,2.81,72,2.06,2635,21.6,0.00,0
0.049,0.65,14.65,14.70,1.000,0.00,0.00,1214,1261,3,117,28.86,-1.73,200,161.19,2.56,0.000,9.38,3.12,14.95,23.1,14.07,190,21.50,3.38,72,2.08,2643,22.7,0.00,0
0.105,0.67,14.65,14.70,1.000,0.00,0.00,1301,1314,3,117,30.00,-1.36,200,202.45,4.45,0.000,10.16,3.12,15.02,27.8,14.07,190,20.50,3.38,72,2.04,2645,23.5,0.00,0
0.160,0.75,14.65,14.70,1.000,0.00,0.00,1350,1473,3,117,33.73,-0.30,200,233.14,6.09,0.040,10.94,3.12,15.21,32.5,14.07,190,21.00,3.39,72,2.24,2654,30.6,7.84,0
0.230,0.80,14.64,14.64,1.000,0.00,0.00,1496,1526,3,117,36.05,-0.18,199,249.76,7.23,0.227,12.50,3.12,15.57,36.9,14.07,190,14.00,3.99,72,2.26,2670,29.8,14.51,0
0.301,0.89,14.62,14.64,1.000,0.00,0.00,1488,1646,3,117,40.07,-0.20,199,257.20,8.07,0.629,12.50,3.12,14.93,38.8,14.07,190,14.50,3.99,72,2.34,2666,32.9,18.04,0
0.374,0.98,14.61,14.64,1.000,0.00,0.00,1617,1752,3,115,44.77,0.68,199,267.55,7.98,0.813,10.94,3.12,14.74,43.1,14.07,190,16.00,4.57,72,2.40,2692,40.0,20.78,0
0.466,1.06,14.62,14.59,1.000,0.00,0.00,1713,1818,3,115,48.33,1.68,199,273.74,7.63,0.893,12.50,3.12,15.29,47.1,14.07,190,13.50,5.19,72,2.48,2704,44.7,23.14,0
0.522,1.12,14.31,14.31,1.000,0.00,0.00,1748,1818,3,115,51.38,1.88,199,278.09,8.02,0.963,14.84,3.12,15.01,49.4,14.07,190,13.50,5.80,70,2.64,2720,47.8,24.71,0
0.588,1.19,14.31,14.31,1.000,0.00,0.00,1718,1818,3,113,54.89,2.31,200,283.88,7.69,1.000,14.84,3.12,14.71,52.9,14.07,190,13.00,5.81,70,2.52,2730,49.4,25.10,0
0.653,1.22,14.31,14.31,1.000,-1.41,0.00,1805,1871,3,113,55.87,2.98,200,289.33,7.75,1.000,13.28,3.12,14.48,56.1,14.07,190,11.00,6.42,70,2.60,2741,50.6,27.84,0
