Time (sec),Calculated Load (g/rev),CL Fuel Target (AFR),Comm Fuel Final (AFR),Dyn. Adv. Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Fuel Pressure (psi),Fuel Pressure Target (psi),Gear Position (Gear),Intake Temp Manifold (F),MAF Corr. (g/s),Boost (psi),Oil Temp (F),Req. Torque (Nm),TD Boost Error (psi),TGV Map Ratio (mult),AF Correction 1 (%),AF Learning 1 (%),AF Sens 1 Ratio (AFR),Accel. Position (%),Baro. Pressure (psi),Coolant Temp (F),Ignition Timing (°),Inj. Duty Cycle (%),Intake Temp (F),MAF Volt. (V),RPM (RPM),Throttle Pos. (%),Wastegate Duty (%),AP Info:[AP3-SUB-004 v1.7.3.0-17285][2019 USDM WRX MT COBB Custom Features][Reflash: Stage1+BigSF 91 v302.ptm - Realtime: Stage1+BigSF 91 v302.ptm]
8.514,0.12,14.60,14.70,1.000,0.00,0.00,429,438,4,104,7.19,-11.53,206,0.00,0.38,1.000,0.00,2.34,14.74,0.0,14.07,189,22.00,1.51,88,1.22,3534,7.5,0.00,0
8.573,0.12,14.60,14.70,1.000,0.00,0.00,444,438,4,104,7.15,-11.44,206,0.00,0.29,1.000,0.00,2.34,14.76,0.0,14.07,189,21.00,1.50,88,1.22,3519,7.5,0.00,0
8.642,0.12,14.60,13.68,1.000,0.00,0.00,451,438,4,104,7.19,-11.50,206,0.00,0.29,1.000,0.00,2.34,15.26,0.0,14.07,189,19.00,1.50,88,1.22,3516,7.5,0.00,0
8.722,0.12,14.62,13.63,1.000,0.00,0.00,462,438,4,104,7.18,-11.59,207,0.00,0.45,0.693,0.00,2.34,15.88,0.0,14.07,189,17.00,1.50,88,1.22,3507,7.5,0.00,0
8.776,0.12,14.62,13.54,1.000,0.00,0.00,467,438,4,104,7.19,-11.50,207,0.00,0.36,0.480,0.00,2.34,16.96,0.0,14.07,189,17.00,1.49,88,1.20,3502,7.5,0.00,0
8.837,0.12,14.62,13.49,1.000,0.00,0.00,472,438,4,106,7.19,-11.41,207,0.00,0.27,0.000,0.00,2.34,18.11,0.0,14.07,189,17.00,1.49,88,1.22,3503,7.5,0.00,0
8.895,0.12,14.62,13.44,1.000,0.00,0.00,478,438,4,106,7.18,-11.41,207,0.00,0.27,0.000,0.00,2.34,19.77,0.0,14.07,189,17.00,1.49,88,1.20,3496,7.5,0.00,0
8.950,0.12,14.62,13.44,1.000,0.00,0.00,488,438,4,106,7.17,-11.40,207,0.00,0.26,0.000,0.00,2.34,21.24,0.0,14.07,189,17.00,1.49,88,1.16,3488,7.5,0.00,0
9.016,0.12,14.62,13.39,1.000,0.00,0.00,494,438,4,106,7.14,-11.41,207,0.00,0.27,0.000,0.00,2.34,22.20,0.0,14.07,189,17.00,1.49,88,1.20,3492,7.5,0.00,0
9.077,0.12,14.62,13.34,1.000,0.00,0.00,499,438,4,106,7.10,-11.38,206,0.00,0.22,0.000,0.00,2.34,22.20,0.0,14.07,189,17.00,1.49,88,1.20,3484,7.5,0.00,0
9.133,0.12,14.62,13.30,1.000,0.00,0.00,504,438,4,106,7.07,-11.36,206,0.00,0.22,0.000,0.00,2.34,22.20,0.0,14.07,189,17.00,1.48,88,1.16,3472,7.5,0.00,0
9.190,0.12,14.62,13.30,1.000,0.00,0.00,510,438,4,106,7.10,-11.36,206,0.00,0.21,0.000,0.00,2.34,22.20,0.0,14.07,189,17.00,1.48,90,1.20,3476,7.5,0.00,0
9.250,0.12,14.60,13.25,1.000,0.00,0.00,519,438,4,106,7.07,-11.36,206,0.00,0.23,0.030,0.00,2.34,22.20,0.0,14.07,189,12.00,1.48,90,1.20,3467,7.5,0.00,0
9.310,0.12,14.60,13.25,1.000,0.00,0.00,520,438,4,106,7.09,-11.35,206,0.00,0.22,0.090,0.00,2.34,22.20,0.0,14.07,189,12.00,1.47,90,1.20,3457,7.5,0.00,0
9.375,0.12,14.60,13.20,1.000,0.00,0.00,527,438,4,106,7.12,-11.34,206,0.00,0.17,0.494,0.00,2.34,22.20,0.0,14.07,189,12.00,1.47,90,1.16,3457,7.5,0.00,0
9.434,0.12,14.60,13.16,1.000,0.00,0.00,531,438,4,106,7.09,-11.31,206,0.00,0.18,0.802,0.00,2.34,22.20,0.0,14.07,189,12.00,1.48,90,1.18,3457,7.5,0.00,0
9.492,0.12,14.60,13.16,1.000,0.00,0.00,536,438,4,108,7.05,-11.29,206,0.00,0.16,0.862,0.00,2.34,22.20,0.0,14.07,189,12.00,1.47,90,1.16,3450,7.5,0.00,0
9.563,0.12,14.60,13.11,1.000,0.00,0.00,541,438,4,108,7.05,-11.27,206,0.00,0.23,0.932,0.00,2.34,22.20,0.0,14.07,189,12.00,1.47,90,1.18,3445,7.5,0.00,0
9.642,0.12,14.60,13.07,1.000,0.00,0.00,547,438,4,108,7.05,-11.27,206,0.00,0.14,1.000,0.00,2.34,22.20,0.0,14.07,189,12.00,1.47,90,1.18,3442,7.5,0.00,0
9.697,0.12,14.60,13.07,1.000,0.00,0.00,552,438,4,108,7.06,-11.30,207,0.00,0.18,1.000,0.00,2.34,22.20,0.0,14.07,189,12.00,1.47,90,1.22,3434,7.5,0.00,0
9.754,0.12,14.60,13.02,1.000,0.00,0.00,557,438,4,108,7.04,-11.41,207,0.00,0.29,1.000,0.00,2.34,22.20,0.0,14.07,189,12.00,1.46,90,1.20,3426,7.5,0.00,0
9.815,0.12,14.60,13.02,1.000,0.00,0.00,563,438,4,108,7.04,-11.48,207,0.00,0.37,1.000,0.00,2.34,22.20,0.0,14.07,189,12.00,1.46,90,1.20,3425,7.5,0.00,0
9.875,0.12,14.60,12.98,1.000,0.00,0.00,568,438,4,108,7.04,-11.39,207,0.00,0.22,1.000,0.00,2.34,22.20,0.0,14.07,189,12.00,1.46,90,1.24,3419,7.5,0.00,0
9.934,0.12,14.60,12.93,1.000,0.00,0.00,573,438,4,108,7.07,-11.32,207,0.00,0.18,1.000,0.00,2.34,22.20,0.0,14.07,189,12.00,1.46,90,1.24,3414,7.5,0.00,0
9.993,0.12,14.60,12.93,1.000,0.00,0.00,573,438,4,108,7.11,-11.33,207,0.00,0.15,1.000,0.00,2.34,22.20,0.0,14.07,189,12.00,1.46,90,1.20,3416,7.5,0.00,0
10.062,0.12,14.60,12.89,1.000,0.00,0.00,580,438,4,108,7.13,-11.24,207,0.00,0.12,1.000,0.00,2.34,22.20,0.0,14.07,189,12.00,1.46,90,1.18,3413,7.5,0.00,0
10.146,0.12,14.60,12.84,1.000,0.00,0.00,584,438,4,108,7.11,-11.21,207,0.00,0.10,1.000,0.00,2.34,22.20,0.0,14.07,189,12.00,1.45,90,1.22,3398,7.5,0.00,0
10.190,0.12,14.60,12.84,1.000,0.00,0.00,589,438,4,108,7.08,-11.34,207,0.00,0.23,1.000,0.00,2.34,22.20,0.0,14.07,189,12.00,1.45,90,1.20,3393,7.5,0.00,0
10.255,0.12,14.60,12.80,1.000,0.00,0.00,595,438,4,108,7.01,-11.47,207,0.00,0.36,1.000,0.00,2.34,22.20,0.0,14.07,189,12.00,1.45,90,1.22,3393,7.1,0.00,0
10.314,0.12,14.60,12.80,1.000,0.00,0.00,600,438,4,109,6.98,-11.34,207,0.00,0.21,1.000,0.00,2.34,22.20,0.0,14.07,189,12.00,1.45,90,1.22,3388,7.1,0.00,0
10.373,0.12,14.60,12.80,1.000,0.00,0.00,600,438,4,109,6.98,-11.26,207,0.00,0.16,1.000,0.00,2.34,22.20,0.0,14.07,189,12.00,1.44,90,1.18,3382,7.1,0.00,0
10.433,0.12,14.60,12.80,1.000,0.00,0.00,605,438,4,109,6.97,-11.27,207,0.00,0.16,1.000,0.00,2.34,22.20,0.0,14.07,189,12.00,1.44,90,1.16,3378,7.1,0.00,0
10.490,0.12,14.60,12.80,1.000,0.00,0.00,610,438,4,109,6.96,-11.46,207,0.00,0.36,1.000,0.00,2.34,22.20,0.0,14.07,189,12.00,1.44,90,1.20,3375,7.1,0.00,0
10.556,0.12,14.60,12.80,1.000,0.00,0.00,616,438,4,109,6.94,-11.35,207,0.00,0.21,1.000,0.00,2.34,22.20,0.0,14.07,189,12.00,1.44,90,1.20,3370,7.1,0.00,0
10.614,0.12,14.60,12.80,1.000,0.00,0.00,616,438,4,109,6.94,-11.26,207,0.00,0.16,1.000,0.00,2.34,22.20,0.0,14.07,189,12.00,1.44,90,1.20,3366,7.1,0.00,0
